[2024-09-14 19:43:33,721: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:43:35,293: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:43:50,263: WARNING: module_wrapper]: From D:\Python311\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2024-09-14 19:43:52,573: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:43:52,573: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:43:52,611: INFO: app]: Registration method selected: Select
[2024-09-14 19:43:52,611: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:44:00,480: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:44:00,480: INFO: app]: Registration method selected: ID Card Registration
[2024-09-14 19:44:00,480: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:44:13,701: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:44:13,707: INFO: app]: Registration method selected: ID Card Registration
[2024-09-14 19:44:13,707: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:44:15,787: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:44:15,788: INFO: app]: Registration method selected: View Registered Employees
[2024-09-14 19:44:15,789: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:44:40,321: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:44:40,326: INFO: app]: Registration method selected: Manual Registration
[2024-09-14 19:44:40,327: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:45:01,959: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:45:01,963: INFO: app]: Registration method selected: ID Card Registration
[2024-09-14 19:45:01,964: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:45:04,487: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:45:04,489: INFO: app]: Registration method selected: View Registered Employees
[2024-09-14 19:45:04,489: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:46:55,923: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:46:56,585: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:47:03,147: WARNING: module_wrapper]: From D:\Python311\Lib\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

[2024-09-14 19:47:03,588: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:47:03,588: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:47:03,588: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:47:03,588: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:47:03,588: INFO: app]: Registration method selected: Select
[2024-09-14 19:47:03,588: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:47:03,599: INFO: app]: Registration method selected: Select
[2024-09-14 19:47:03,715: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:47:03,871: INFO: app]: Registration method selected: Select
[2024-09-14 19:47:03,872: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:47:08,699: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:47:08,699: INFO: app]: Registration method selected: ID Card Registration
[2024-09-14 19:47:08,699: INFO: create_database]: Table 'employees' already exists.
[2024-09-14 19:47:10,969: INFO: utils]: YML  file: config.yaml loaded successfully
[2024-09-14 19:47:10,969: INFO: app]: Registration method selected: View Registered Employees
[2024-09-14 19:47:10,969: INFO: create_database]: Table 'employees' already exists.
